-0.05,-0.03,0.99,-2.85,-1.90,81.28
-0.05,-0.03,0.99,-2.72,-1.84,81.42
-0.05,-0.03,0.99,-2.75,-1.91,81.58
-0.05,-0.03,0.99,-2.76,-1.88,81.63
-0.05,-0.03,0.99,-2.78,-1.92,81.65
-0.05,-0.03,0.99,-2.78,-1.87,81.44
-0.05,-0.03,0.99,-2.75,-1.89,81.89
-0.05,-0.03,0.99,-2.70,-1.82,81.82
-0.05,-0.03,0.99,-2.78,-1.91,81.44
-0.05,-0.03,0.99,-2.71,-1.85,81.32
-0.05,-0.03,0.99,-2.77,-1.91,81.44
-0.05,-0.03,0.99,-2.80,-1.88,81.32
-0.05,-0.03,0.99,-2.82,-1.89,81.55
-0.05,-0.03,0.99,-2.75,-1.97,81.39
-0.05,-0.03,0.99,-2.78,-1.91,81.30
-0.05,-0.04,1.00,-2.68,-2.12,85.87
-0.04,-0.03,1.00,-2.39,-1.84,85.38
-0.05,-0.03,0.99,-2.71,-1.75,81.32
-0.05,-0.03,0.99,-2.70,-1.70,81.74
-0.05,-0.03,0.99,-2.71,-1.80,81.32
-0.05,-0.03,0.99,-2.69,-1.78,81.55
-0.05,-0.03,0.99,-2.70,-1.73,81.48
-0.04,-0.03,1.00,-2.58,-1.73,84.34
-0.05,-0.03,0.99,-2.71,-1.69,81.46
-0.05,-0.03,0.99,-2.71,-1.83,82.01
-0.05,-0.03,0.99,-2.78,-1.87,81.48
-0.05,-0.03,0.99,-2.69,-1.71,81.65
-0.05,-0.03,0.99,-2.69,-1.84,81.42
-0.05,-0.03,0.99,-2.63,-1.70,81.82
-0.05,-0.03,0.99,-2.65,-1.80,81.60
-0.05,-0.03,0.99,-2.63,-1.77,81.67
-0.05,-0.03,0.99,-2.63,-1.73,81.94
-0.05,-0.03,0.99,-2.61,-1.74,81.39
-0.04,-0.03,0.99,-2.56,-1.65,82.21
-0.05,-0.03,0.99,-2.64,-1.76,81.74
-0.04,-0.03,0.99,-2.55,-1.72,82.04
-0.05,-0.03,0.99,-2.58,-1.77,82.09
-0.05,-0.03,0.99,-2.67,-1.82,81.79
-0.05,-0.03,0.99,-2.58,-1.67,81.74
-0.05,-0.03,0.99,-2.58,-1.74,81.89
-0.04,-0.03,0.99,-2.55,-1.71,82.16
-0.05,-0.03,0.99,-2.61,-1.78,81.55
-0.05,-0.03,0.99,-2.63,-1.70,81.58
-0.05,-0.03,0.99,-2.62,-1.74,81.65
-0.04,-0.03,0.99,-2.56,-1.68,81.72
-0.05,-0.03,0.99,-2.58,-1.70,81.48
-0.05,-0.03,0.99,-2.61,-1.75,81.74
-0.05,-0.03,0.99,-2.60,-1.76,81.63
-0.05,-0.03,0.99,-2.62,-1.75,82.11
-0.05,-0.03,0.99,-2.63,-1.74,81.44
-0.05,-0.03,0.99,-2.68,-1.87,81.53
-0.04,-0.03,0.99,-2.54,-1.65,82.29
-0.05,-0.03,0.99,-2.64,-1.85,81.77
-0.05,-0.03,0.99,-2.63,-1.80,81.48
-0.05,-0.03,0.99,-2.64,-1.83,81.44
-0.04,-0.03,0.99,-2.57,-1.73,81.67
-0.04,-0.03,0.99,-2.56,-1.75,81.91
-0.05,-0.03,0.99,-2.59,-1.78,81.48
-0.05,-0.03,0.99,-2.59,-1.69,81.30
-0.05,-0.03,0.99,-2.58,-1.83,81.46
-0.04,-0.03,0.99,-2.55,-1.75,81.67
-0.05,-0.03,0.99,-2.61,-1.81,81.55
-0.05,-0.03,0.99,-2.60,-1.65,81.25
-0.04,-0.03,0.99,-2.57,-1.70,81.67
-0.05,-0.03,0.99,-2.61,-1.82,81.79
-0.04,-0.03,0.99,-2.51,-1.73,81.79
-0.05,-0.03,0.99,-2.59,-1.60,81.72
-0.04,-0.03,0.99,-2.55,-1.81,80.51
-0.04,-0.03,0.99,-2.42,-1.59,81.87
-0.07,-0.04,0.97,-3.91,-2.05,76.32
-0.05,-0.03,0.99,-2.72,-1.70,83.08
-0.06,-0.03,0.99,-3.35,-1.56,80.77
-0.06,-0.03,0.99,-3.33,-1.80,81.96
-0.05,-0.03,0.99,-2.64,-1.83,81.42
